Action,Target,Timestamp,x_Coordinates,y_Coordinates,browser,browserVersion,microtime,scrnwidth,scrnheight,ipAddress,inputValue,url,starttime,endtime,ctrl,alt,shift,meta,X,Y,scrnheigthipAddress
session_end,Page,2024-01-20T11:50:06.441Z,,,Chrome,120.0.0.0,60062.10000038147,1536,864.0,,,,2024-01-20T11:50:04.544Z,2024-01-20T17:20:06.441Z,False,False,False,False,,,
mousemove,Page,2024-01-20T11:50:04.544Z,,,Chrome,120.0.0.0,58169.800000190735,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:50:04.544Z,,False,False,False,False,842.0,4.0,
mousemove,Page,2024-01-20T11:50:04.350Z,,,Chrome,120.0.0.0,57976.40000009537,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:50:04.544Z,,False,False,False,False,705.0,279.0,
mousemove,Page,2024-01-20T11:50:03.822Z,,,Chrome,120.0.0.0,57448.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:50:04.350Z,,False,False,False,False,708.0,228.0,
mousemove,Page,2024-01-20T11:50:03.092Z,,,Chrome,120.0.0.0,56718.60000038147,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:50:03.092Z,,False,False,False,False,753.0,0.0,
zoom,Page,2024-01-20T11:50:02.893Z,,,Chrome,120.0.0.0,56519.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:50:03.092Z,,False,False,False,False,713.0,162.0,
scroll,Page,2024-01-20T11:50:01.927Z,,,Chrome,120.0.0.0,55553.40000009537,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:50:01.927Z,,False,False,False,False,0.0,274.5599975585937,
scroll,Page,2024-01-20T11:50:01.337Z,,,Chrome,120.0.0.0,54963.10000038147,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:50:01.337Z,,False,False,False,False,0.0,570.239990234375,
zoom,Page,2024-01-20T11:50:00.373Z,,,Chrome,120.0.0.0,53999.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:50:00.373Z,,False,False,False,False,713.0,162.0,
zoom,Page,2024-01-20T11:50:00.304Z,,,Chrome,120.0.0.0,53930.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:50:00.373Z,,False,False,False,False,713.0,162.0,
mousemove,flex-container,2024-01-20T11:49:54.218Z,,,Chrome,120.0.0.0,47843.90000009537,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:54.218Z,,False,False,False,False,713.0,162.0,
mousemove,flex-container,2024-01-20T11:49:53.989Z,,,Chrome,120.0.0.0,47615.40000009537,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:54.218Z,,False,False,False,False,666.0,63.0,
mousemove,flex-container,2024-01-20T11:49:38.026Z,,,Chrome,120.0.0.0,31652.10000038147,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:38.026Z,,False,False,False,False,683.0,87.0,
mousemove,Page,2024-01-20T11:49:34.824Z,,,Chrome,120.0.0.0,28449.80000019073,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:38.026Z,,False,False,False,False,304.0,316.0,
mousemove,Page,2024-01-20T11:49:33.591Z,,,Chrome,120.0.0.0,27217.10000038147,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:34.824Z,,False,False,False,False,1032.0,124.0,
mousemove,Page,2024-01-20T11:49:23.629Z,,,Chrome,120.0.0.0,17255.300000190735,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:23.629Z,,False,False,False,False,1069.0,0.0,
mousemove,Page,2024-01-20T11:49:23.104Z,,,Chrome,120.0.0.0,16730.300000190735,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:23.629Z,,False,False,False,False,763.0,9.0,
mousemove,flex-container,2024-01-20T11:49:17.201Z,,,Chrome,120.0.0.0,10827.700000286102,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:17.201Z,,False,False,False,False,684.0,93.0,
scroll,Page,2024-01-20T11:49:09.258Z,,,Chrome,120.0.0.0,2884.2000002861023,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:10.728Z,,False,False,False,False,0.0,735.3599853515625,
scroll,Page,2024-01-20T11:49:09.584Z,,,Chrome,120.0.0.0,3210.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:10.728Z,,False,False,False,False,0.0,317.44000244140625,
scroll,Page,2024-01-20T11:49:09.872Z,,,Chrome,120.0.0.0,3498.4000000953674,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:10.728Z,,False,False,False,False,0.0,438.3999938964844,
mousemove,Page,2024-01-20T11:49:10.495Z,,,Chrome,120.0.0.0,4121.10000038147,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:10.728Z,,False,False,False,False,310.0,327.0,
mousemove,Page,2024-01-20T11:49:08.095Z,,,Chrome,120.0.0.0,1721.0,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:10.495Z,,False,False,False,False,579.0,299.0,
mousemove,Page,2024-01-20T11:49:07.719Z,,,Chrome,120.0.0.0,1345.4000000953674,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:09.872Z,,False,False,False,False,580.0,152.0,
mousemove,Page,2024-01-20T11:49:07.518Z,,,Chrome,120.0.0.0,1144.3000001907349,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:09.584Z,,False,False,False,False,631.0,201.0,
mousemove,Page,2024-01-20T11:49:07.427Z,,,Chrome,120.0.0.0,1053.4000000953674,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:09.258Z,,False,False,False,False,632.0,203.0,
session_end,Page,2024-01-20T11:43:52.975Z,,,Chrome,120.0.0.0,34755.800000190735,1536,864.0,,,,2024-01-20T11:43:46.002Z,2024-01-20T17:13:52.975Z,False,False,False,False,,,
mousemove,Page,2024-01-20T11:49:07.317Z,,,Chrome,120.0.0.0,943.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:49:08.095Z,,False,False,False,False,634.0,206.0,
session_end,Page,2024-01-20T11:43:52.975Z,,,Chrome,120.0.0.0,34755.800000190735,1536,864.0,,,,2024-01-20T11:43:46.002Z,2024-01-20T17:13:52.975Z,False,False,False,False,,,
mousemove,flex-container,2024-01-20T11:43:46.002Z,,,Chrome,120.0.0.0,27782.80000019073,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:46.002Z,,False,False,False,False,227.0,20.0,
mousemove,Page,2024-01-20T11:43:45.358Z,,,Chrome,120.0.0.0,27138.80000019073,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:46.002Z,,False,False,False,False,184.0,524.0,
mousemove,Page,2024-01-20T11:43:43.220Z,,,Chrome,120.0.0.0,25000.59999990464,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:43.220Z,,False,False,False,False,277.0,334.0,
zoom,Page,2024-01-20T11:43:41.398Z,,,Chrome,120.0.0.0,23178.09999990464,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:41.398Z,,False,False,False,False,168.0,352.0,
zoom,Page,2024-01-20T11:43:40.361Z,,,Chrome,120.0.0.0,22141.30000019073,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:40.361Z,,False,False,False,False,168.0,352.0,
zoom,Page,2024-01-20T11:43:39.785Z,,,Chrome,120.0.0.0,21565.699999809265,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:39.785Z,,False,False,False,False,168.0,352.0,
zoom,Page,2024-01-20T11:43:39.272Z,,,Chrome,120.0.0.0,21052.59999990464,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:39.272Z,,False,False,False,False,169.0,352.0,
zoom,Page,2024-01-20T11:43:38.542Z,,,Chrome,120.0.0.0,20327.80000019073,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:38.542Z,,False,False,False,False,168.0,352.0,
zoom,Page,2024-01-20T11:43:37.499Z,,,Chrome,120.0.0.0,19284.900000095367,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:37.499Z,,False,False,False,False,168.0,352.0,
zoom,Page,2024-01-20T11:43:36.595Z,,,Chrome,120.0.0.0,18381.09999990464,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:37.499Z,,False,False,False,False,168.0,352.0,
scroll,Page,2024-01-20T11:43:36.025Z,,,Chrome,120.0.0.0,17810.900000095367,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:36.595Z,,False,False,False,False,0.0,2780.159912109375,
scroll,Page,2024-01-20T11:43:35.504Z,,,Chrome,120.0.0.0,17290.199999809265,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:36.025Z,,False,False,False,False,0.0,2728.320068359375,
scroll,Page,2024-01-20T11:43:33.267Z,,,Chrome,120.0.0.0,15053.0,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:35.504Z,,False,False,False,False,0.0,924.7999877929688,
